# Station : ILE_D_AIX
# Longitude : -1.174341
# Latitude : 46.007357
# Organisme fournisseur de données : Shom, LIENSs, Charente Maritime
# Fuseau horaire : UTC
# Référence verticale : zero_hydrographique
# Unité : m
# Source 1 : Données brutes temps réel
# Source 2 : Données brutes temps différé
# Source 3 : Données validées temps différé
# Source 4 : Données horaires validées
# Source 5 : Données horaires brutes
# Source 6 : Pleines et basses mers
# Date;Valeur;Source
01/01/2014 00:00:00;4.454;3
01/01/2014 00:00:00;4.454;4
01/01/2014 00:00:00;4.454;2
01/01/2014 00:10:00;4.631;3
01/01/2014 00:10:00;4.631;2
01/01/2014 00:20:00;4.803;3
01/01/2014 00:20:00;4.803;2
01/01/2014 00:30:00;4.948;3
01/01/2014 00:30:00;4.948;2
01/01/2014 00:40:00;5.121;3
01/01/2014 00:40:00;5.121;2
01/01/2014 00:50:00;5.283;3
01/01/2014 00:50:00;5.283;2
01/01/2014 01:00:00;5.41;3
01/01/2014 01:00:00;5.41;4
01/01/2014 01:00:00;5.41;2
01/01/2014 01:10:00;5.518;3
01/01/2014 01:10:00;5.518;2
01/01/2014 01:20:00;5.692;3
01/01/2014 01:20:00;5.692;2
01/01/2014 01:30:00;5.807;3
01/01/2014 01:30:00;5.807;2
01/01/2014 01:40:00;5.907;3
01/01/2014 01:40:00;5.907;2
01/01/2014 01:50:00;6.02;3
01/01/2014 01:50:00;6.02;2
01/01/2014 02:00:00;6.134;3
01/01/2014 02:00:00;6.134;4
01/01/2014 02:00:00;6.134;2
01/01/2014 02:10:00;6.169;3
01/01/2014 02:10:00;6.169;2
01/01/2014 02:20:00;6.279;3
01/01/2014 02:20:00;6.279;2
01/01/2014 02:30:00;6.337;3
01/01/2014 02:30:00;6.337;2
01/01/2014 02:40:00;6.389;3
01/01/2014 02:40:00;6.389;2
01/01/2014 02:50:00;6.422;3
01/01/2014 02:50:00;6.422;2
01/01/2014 03:00:00;6.442;3
01/01/2014 03:00:00;6.442;4
01/01/2014 03:00:00;6.442;2
01/01/2014 03:10:00;6.485;3
01/01/2014 03:10:00;6.485;2
01/01/2014 03:20:00;6.479;3
01/01/2014 03:20:00;6.479;2
01/01/2014 03:30:00;6.5;3
01/01/2014 03:30:00;6.5;2
01/01/2014 03:40:00;6.472;3
01/01/2014 03:40:00;6.472;2
01/01/2014 03:50:00;6.451;3
01/01/2014 03:50:00;6.451;2
01/01/2014 04:00:00;6.366;3
01/01/2014 04:00:00;6.366;4
01/01/2014 04:00:00;6.366;2
01/01/2014 04:10:00;6.356;3
01/01/2014 04:10:00;6.356;2
01/01/2014 04:20:00;6.232;3
01/01/2014 04:20:00;6.232;2
01/01/2014 04:30:00;6.113;3
01/01/2014 04:30:00;6.113;2
01/01/2014 04:40:00;5.968;3
01/01/2014 04:40:00;5.968;2
01/01/2014 04:50:00;5.843;3
01/01/2014 04:50:00;5.843;2
01/01/2014 05:00:00;5.685;3
01/01/2014 05:00:00;5.685;4
01/01/2014 05:00:00;5.685;2
01/01/2014 05:10:00;5.539;3
01/01/2014 05:10:00;5.539;2
01/01/2014 05:20:00;5.321;3
01/01/2014 05:20:00;5.321;2
01/01/2014 05:30:00;5.168;3
01/01/2014 05:30:00;5.168;2
01/01/2014 05:40:00;4.972;3
01/01/2014 05:40:00;4.972;2
01/01/2014 05:50:00;4.748;3
01/01/2014 05:50:00;4.748;2
01/01/2014 06:00:00;4.547;3
01/01/2014 06:00:00;4.547;4
01/01/2014 06:00:00;4.547;2
01/01/2014 06:10:00;4.326;3
01/01/2014 06:10:00;4.326;2
01/01/2014 06:20:00;4.103;3
01/01/2014 06:20:00;4.103;2
01/01/2014 06:30:00;3.852;3
01/01/2014 06:30:00;3.852;2
01/01/2014 06:40:00;3.645;3
01/01/2014 06:40:00;3.645;2
01/01/2014 06:50:00;3.442;3
01/01/2014 06:50:00;3.442;2
01/01/2014 07:00:00;3.192;3
01/01/2014 07:00:00;3.192;4
01/01/2014 07:00:00;3.192;2
01/01/2014 07:10:00;2.959;3
01/01/2014 07:10:00;2.959;2
01/01/2014 07:20:00;2.711;3
01/01/2014 07:20:00;2.711;2
01/01/2014 07:30:00;2.5;3
01/01/2014 07:30:00;2.5;2
01/01/2014 07:40:00;2.265;3
01/01/2014 07:40:00;2.265;2
01/01/2014 07:50:00;2.056;3
01/01/2014 07:50:00;2.056;2
01/01/2014 08:00:00;1.863;3
01/01/2014 08:00:00;1.863;4
01/01/2014 08:00:00;1.863;2
01/01/2014 08:10:00;1.683;3
01/01/2014 08:10:00;1.683;2
01/01/2014 08:20:00;1.512;3
01/01/2014 08:20:00;1.512;2
01/01/2014 08:30:00;1.38;3
01/01/2014 08:30:00;1.38;2
01/01/2014 08:40:00;1.239;3
01/01/2014 08:40:00;1.239;2
01/01/2014 08:50:00;1.155;3
01/01/2014 08:50:00;1.155;2
01/01/2014 09:00:00;1.126;3
01/01/2014 09:00:00;1.126;4
01/01/2014 09:00:00;1.126;2
01/01/2014 09:10:00;1.064;3
01/01/2014 09:10:00;1.064;2
01/01/2014 09:20:00;1.08;3
01/01/2014 09:20:00;1.08;2
01/01/2014 09:30:00;1.086;3
01/01/2014 09:30:00;1.086;2
01/01/2014 09:40:00;1.15;3
01/01/2014 09:40:00;1.15;2
01/01/2014 09:50:00;1.267;3
01/01/2014 09:50:00;1.267;2
01/01/2014 10:00:00;1.376;3
01/01/2014 10:00:00;1.376;4
01/01/2014 10:00:00;1.376;2
01/01/2014 10:10:00;1.58;3
01/01/2014 10:10:00;1.58;2
01/01/2014 10:20:00;1.724;3
01/01/2014 10:20:00;1.724;2
01/01/2014 10:30:00;1.915;3
01/01/2014 10:30:00;1.915;2
01/01/2014 10:40:00;2.131;3
01/01/2014 10:40:00;2.131;2
01/01/2014 10:50:00;2.358;3
01/01/2014 10:50:00;2.358;2
01/01/2014 11:00:00;2.589;3
01/01/2014 11:00:00;2.589;4
01/01/2014 11:00:00;2.589;2
01/01/2014 11:10:00;2.819;3
01/01/2014 11:10:00;2.819;2
01/01/2014 11:20:00;3.014;3
01/01/2014 11:20:00;3.014;2
01/01/2014 11:30:00;3.268;3
01/01/2014 11:30:00;3.268;2
01/01/2014 11:40:00;3.47;3
01/01/2014 11:40:00;3.47;2
01/01/2014 11:50:00;3.646;3
01/01/2014 11:50:00;3.646;2
01/01/2014 12:00:00;3.866;3
01/01/2014 12:00:00;3.866;4
01/01/2014 12:00:00;3.866;2
01/01/2014 12:10:00;4.036;3
